State,County,Prevalence,Number in Group
GA,13251,0.06763758577230079,133
GA,13293,0.1122096548814891,390
GA,13217,0.09492167111997445,1182
GA,13101,0.06617271333673991,24
GA,13183,0.06303418803418803,124
GA,13193,0.1311879860552427,228
GA,13061,0.10652105096549541,61
GA,13129,0.11638025115318015,764
GA,13005,0.0555414979757085,82
GA,13237,0.13158835445049052,319
GA,13037,0.11284355179704017,81
GA,13257,0.11679437328453797,389
GA,13055,0.12734931009440814,409
GA,13277,0.08321491328596531,516
GA,13149,0.11036519871106337,154
GA,13111,0.12012973157512909,262
GA,13171,0.12123790279697969,221
GA,13179,0.0826715430163706,460
GA,13009,0.12327917167565053,582
GA,13209,0.09433788270011066,93
GA,13049,0.0962270133164236,112
GA,13289,0.07585627232611893,68
GA,13075,0.0702387562465297,186
GA,13069,0.08944517204429099,575
GA,13063,0.1034010993452429,4969
GA,13033,0.09899899420470329,383
GA,13259,0.11962276637988087,67
GA,13233,0.11229641557221691,622
GA,13303,0.12677335942413864,350
GA,13315,0.10125543612045622,115
GA,13155,0.13303261110700287,164
GA,13085,0.11193017632835997,185
GA,13079,0.09242652353210709,130
GA,13043,0.05388272583201268,92
GA,13269,0.0881057268722467,85
GA,13025,0.0750316029849529,173
GA,13051,0.09813014820910904,2610
GA,13207,0.10443839281448569,206
GA,13309,0.08005667729365923,64
GA,13239,0.042112299465240643,11
GA,13261,0.16217992005986384,812
GA,13235,0.0868830591373944,90
GA,13295,0.09631582697926316,645
GA,13169,0.07427011826978744,173
GA,13219,0.1178468774496995,181
GA,13151,0.0957962241842413,1459
GA,13287,0.08073406829792955,109
GA,13299,0.06900805736535719,337
GA,13117,0.09588596866201854,641
GA,13047,0.09557709011018956,539
GA,13157,0.09103126807526113,498
GA,13159,0.09694501018329939,174
GA,13123,0.10749420861036733,339
GA,13227,0.11673463696887308,318
GA,13229,0.06996151684178666,154
GA,13187,0.09610822060353798,221
GA,13321,0.13360163857846133,337
GA,13013,0.09586601542551101,707
GA,13199,0.08121141975308642,242
GA,13057,0.099243158634306,1087
GA,13213,0.10762234006847016,603
GA,13143,0.09150160106548783,306
GA,13165,0.07621800747373617,100
GA,13141,0.10099075847140121,113
GA,13127,0.06332318467217594,542
GA,13221,0.10828025477707007,87
GA,13205,0.13192439948796467,494
GA,13045,0.08840767963502724,1060
GA,13121,0.10315280599026068,9817
GA,13153,0.10868441546805974,1505
GA,13297,0.10530189764232317,866
GA,13015,0.11035936206334206,1246
GA,13137,0.0746612179713004,301
GA,13301,0.0825147347740668,61
GA,13029,0.0930481741813818,209
GA,13053,0.08620689655172414,47
GA,13021,0.10109296358432843,2288
GA,13197,0.10826399394856279,107
GA,13181,0.08899533593848481,67
GA,13097,0.09712004140633665,1257
GA,13305,0.09203935599284437,388
GA,13103,0.08937662907115539,365
GA,13081,0.11587437433543402,417
GA,13007,0.12821080602302923,53
GA,13019,0.06830473870840646,179
GA,13189,0.10611336263485359,348
GA,13093,0.11039037622361128,167
GA,13135,0.10043892986201726,7637
GA,13125,0.0856338028169014,26
GA,13313,0.09954975269667822,1274
GA,13175,0.09283756088472492,641
GA,13139,0.08953558942446596,1969
GA,13027,0.0936141304347826,201
GA,13099,0.09309983535398893,175
GA,13073,0.08662620681547663,580
GA,13095,0.1548184645875196,2635
GA,13119,0.11283518055058991,306
