State,County,Prevalence,Number in Group
GA,13251,0.009522475843719368,20
GA,13293,0.0034121890756510422,305
GA,13217,0.0060450731874517995,74
GA,13101,0.003176425789942443,529
GA,13183,0.003176425789942443,529
GA,13193,0.0034121890756510422,305
GA,13061,0.0038289471940927337,79
GA,13129,0.003477729435560147,20
GA,13005,0.0027714105629929346,102
GA,13237,0.005600349525360448,12
GA,13037,0.0038289471940927337,79
GA,13257,0.007576623970722781,23
GA,13055,0.0034121890756510422,305
GA,13277,0.004400641760256704,25
GA,13149,0.0036014136692869726,1734
GA,13111,0.007297401101011394,15
GA,13171,0.0036014136692869726,1734
GA,13179,0.003343782654127482,16
GA,13009,0.006321014464652732,30
GA,13209,0.0038289471940927337,79
GA,13049,0.0034121890756510422,305
GA,13289,0.003176425789942443,529
GA,13075,0.0034121890756510422,305
GA,13069,0.002098464102869389,12
GA,13063,0.00199054239754264,90
GA,13033,0.003107554359641171,346
GA,13259,0.0038289471940927337,79
GA,13233,0.004746808903201999,25
GA,13303,0.004787196869103362,12
GA,13315,0.0038289471940927337,79
GA,13155,0.0027714105629929346,102
GA,13085,0.0036014136692869726,1734
GA,13079,0.003176425789942443,529
GA,13043,0.0027714105629929346,102
GA,13269,0.0038289471940927337,79
GA,13025,0.003176425789942443,529
GA,13051,0.0027247047309771123,66
GA,13207,0.003176425789942443,529
GA,13309,0.0038289471940927337,79
GA,13239,0.0038289471940927337,79
GA,13261,0.0025916665145735616,12
GA,13235,0.003176425789942443,529
GA,13295,0.003064205800612841,18
GA,13169,0.003176425789942443,529
GA,13219,0.003176425789942443,529
GA,13151,0.004575188598013135,61
GA,13287,0.0034121890756510422,305
GA,13299,0.002833571070588689,14
GA,13117,0.004643209858345249,31
GA,13047,0.00430880324267248,24
GA,13157,0.0028239937395801436,15
GA,13159,0.0064154786150712835,12
GA,13123,0.005896687625981527,17
GA,13227,0.0036014136692869726,1734
GA,13229,0.0034121890756510422,305
GA,13187,0.0034121890756510422,305
GA,13321,0.003176425789942443,529
GA,13013,0.006128301491481923,43
GA,13199,0.0036014136692869726,1734
GA,13057,0.008217643030567143,82
GA,13213,0.004279385111096194,25
GA,13143,0.009238006177562413,30
GA,13165,0.0034121890756510422,305
GA,13141,0.0027714105629929346,102
GA,13127,0.0022639321043416197,17
GA,13221,0.003176425789942443,529
GA,13205,0.0034121890756510422,305
GA,13045,0.005607654289697123,64
GA,13121,0.00408784988388971,359
GA,13153,0.002577550500003446,32
GA,13297,0.005554916618746406,44
GA,13015,0.0035710402850141756,41
GA,13137,0.004438807863031071,17
GA,13301,0.0038289471940927337,79
GA,13029,0.003107554359641171,346
GA,13053,0.003107554359641171,346
GA,13021,0.004950820750682588,105
GA,13197,0.003107554359641171,346
GA,13181,0.003107554359641171,346
GA,13097,0.005271913933971681,62
GA,13305,0.0035554561717352413,14
GA,13103,0.0035809115490487444,13
GA,13081,0.0030343110557846417,11
GA,13007,0.003176425789942443,529
GA,13019,0.0034121890756510422,305
GA,13189,0.003107554359641171,346
GA,13093,0.0034121890756510422,305
GA,13135,0.002430716789067222,177
GA,13125,0.0038289471940927337,79
GA,13313,0.004376788235902971,55
GA,13175,0.0028479412312687976,18
GA,13139,0.00222246916324036,47
GA,13027,0.003176425789942443,529
GA,13099,0.0034121890756510422,305
GA,13073,0.005246065450911816,33
GA,13095,0.001420352886124033,23
GA,13119,0.012835180550589917,32
