State,County,Prevalence,Number in Group
GA,13251,0.0037852735540502428,329
GA,13293,0.00469297898705476,15
GA,13217,0.003256237876745943,35
GA,13101,0.0035925584553926668,586
GA,13183,0.0035925584553926668,586
GA,13193,0.0077232502011263075,12
GA,13061,0.0018600777345918933,12
GA,13129,0.0023136359006446167,14
GA,13005,0.0034135090920679586,124
GA,13237,0.0037852735540502428,329
GA,13037,0.0047087627029722854,61
GA,13257,0.004117108874656907,12
GA,13055,0.0037852735540502428,329
GA,13277,0.005409122163648866,30
GA,13149,0.0023259169186770996,1081
GA,13111,0.0047087627029722854,61
GA,13171,0.0023259169186770996,1081
GA,13179,0.0035925584553926668,586
GA,13009,0.002559429169736689,11
GA,13209,0.0018600777345918933,12
GA,13049,0.0037852735540502428,329
GA,13289,0.0035925584553926668,586
GA,13075,0.0037852735540502428,329
GA,13069,0.0045838790332182406,26
GA,13063,0.0018793953601164012,81
GA,13033,0.003161070932515925,11
GA,13259,0.0047087627029722854,61
GA,13233,0.0033714084436169676,17
GA,13303,0.0034135090920679586,124
GA,13315,0.0047087627029722854,61
GA,13155,0.0034135090920679586,124
GA,13085,0.0023259169186770996,1081
GA,13079,0.0035925584553926668,586
GA,13043,0.0034135090920679586,124
GA,13269,0.0047087627029722854,61
GA,13025,0.0035925584553926668,586
GA,13051,0.0020166522090497266,47
GA,13207,0.0035925584553926668,586
GA,13309,0.0018600777345918933,12
GA,13239,0.0018600777345918933,12
GA,13261,0.0026281688598492454,12
GA,13235,0.0035925584553926668,586
GA,13295,0.0025368773605073756,16
GA,13169,0.0035925584553926668,586
GA,13219,0.0035925584553926668,586
GA,13151,0.0032193391679839613,43
GA,13287,0.0037852735540502428,329
GA,13299,0.0031227109757508,14
GA,13117,0.0022700137085243438,13
GA,13047,0.002844150757020965,15
GA,13157,0.0031131979177299175,16
GA,13159,0.0023259169186770996,1081
GA,13123,0.0037852735540502428,329
GA,13227,0.0023259169186770996,1081
GA,13229,0.0037852735540502428,329
GA,13187,0.0037852735540502428,329
GA,13321,0.0035925584553926668,586
GA,13013,0.003731978472376812,25
GA,13199,0.0023259169186770996,1081
GA,13057,0.0032995081865155947,32
GA,13213,0.0030207424313620193,15
GA,13143,0.004335628666156593,13
GA,13165,0.0037852735540502428,329
GA,13141,0.0034135090920679586,124
GA,13127,0.002643112850881595,21
GA,13221,0.0035925584553926668,586
GA,13205,0.00439246002861374,15
GA,13045,0.0027087821568875935,29
GA,13121,0.0020070565157620096,173
GA,13153,0.004210918062839854,53
GA,13297,0.002840713053479011,22
GA,13015,0.0016642553084726486,17
GA,13137,0.0035698348951361,13
GA,13301,0.0047087627029722854,61
GA,13029,0.0030960692062528454,330
GA,13053,0.0030960692062528454,330
GA,13021,0.005053620184874503,107
GA,13197,0.0030960692062528454,330
GA,13181,0.0030960692062528454,330
GA,13097,0.0027431698029502013,34
GA,13305,0.0037852735540502428,329
GA,13103,0.004969428272149278,18
GA,13081,0.004201353769547966,14
GA,13007,0.0035925584553926668,586
GA,13019,0.006053225402055947,15
GA,13189,0.005051658199668931,15
GA,13093,0.007783936784998231,11
GA,13135,0.0023697543082314915,163
GA,13125,0.0018600777345918933,12
GA,13313,0.0032825911769272286,40
GA,13175,0.0023954645870485213,15
GA,13139,0.002487455871165172,50
GA,13027,0.005434782608695652,11
GA,13099,0.0037852735540502428,329
GA,13073,0.005201980867290708,33
GA,13095,0.003176525640672741,50
GA,13119,0.0047087627029722854,61
GA,13001,0.0034135090920679586,124
GA,13255,0.002007964927545932,15
GA,13107,0.003121800154841288,11
GA,13109,0.0037852735540502428,329
GA,13311,0.0037852735540502428,329
GA,13201,0.0047087627029722854,61
GA,13291,0.0018600777345918933,12
GA,13065,0.0037852735540502428,329
GA,13281,0.0018600777345918933,12
GA,13067,0.0023487074734618177,115
GA,13247,0.0020224110235915697,19
GA,13307,0.0047087627029722854,61
GA,13035,0.0023259169186770996,1081
GA,13271,0.0034135090920679586,124
GA,13071,0.0024445755711034307,17
GA,13087,0.004683452491969744,19
GA,13031,0.004645622394282311,28
GA,13011,0.0047087627029722854,61
GA,13195,0.0035925584553926668,586
GA,13241,0.0034135090920679586,124
GA,13059,0.0022957854676779895,22
GA,13113,0.0029160228929558463,12
GA,13145,0.0030960692062528454,330
GA,13319,0.0047087627029722854,61
GA,13147,0.0037852735540502428,329
GA,13253,0.0037852735540502428,329
GA,13211,0.0023259169186770996,1081
GA,13017,0.004321775856988508,11
GA,13167,0.0034135090920679586,124
GA,13023,0.0037852735540502428,329
GA,13267,0.0055522575688794215,15
GA,13089,0.002036419119672223,145
GA,13279,0.0026126590003241984,12
GA,13243,0.0037852735540502428,329
GA,13115,0.003006372840478005,33
GA,13077,0.002187372557742928,20
GA,13191,0.0035925584553926668,586
GA,13177,0.0035925584553926668,586
GA,13105,0.0037852735540502428,329
GA,13161,0.0034135090920679586,124
GA,13185,0.005704122114068547,72
GA,13273,0.0035925584553926668,586
GA,13133,0.0037852735540502428,329
GA,13317,0.0037852735540502428,329
GA,13249,0.0047087627029722854,61
GA,13215,0.0021524699492831757,47
GA,13173,0.0035925584553926668,586
GA,13003,0.0018600777345918933,12
GA,13131,0.0038626382348272395,13
GA,13231,0.0023259169186770996,1081
GA,13275,0.005058301855805551,26
GA,13163,0.0037852735540502428,329
GA,13245,0.003682638803417696,99
GA,13039,0.003674990154300911,144
GA,13225,0.005445140212360468,15
GA,13223,0.00335530963032729,30
GA,13285,0.004294464130664351,32
GA,13091,0.0037852735540502428,329
GA,13283,0.0034135090920679586,124
GA,13263,0.0047087627029722854,61
GA,13083,0.0030960692062528454,330
GA,13265,0.0047087627029722854,61
PA,42053,0.0035321062943237946,11
PA,42021,0.002666753655572863,28
PA,42101,7.853152096678344e-05,19
PA,42097,0.004116880427765801,29
PA,42115,0.00406377874982362,13
PA,42129,9.989865011949026e-05,53
PA,42005,9.989865011949026e-05,53
PA,42037,0.0031979400282415482,13
PA,42081,0.003988232739047168,35
PA,42007,9.989865011949026e-05,53
PA,42019,9.989865011949026e-05,53
PA,42093,0.0024183929297055978,188
PA,42111,0.0024730053628544174,158
PA,42065,0.005302695536897923,20
PA,42131,0.0008679731683213286,237
PA,42125,9.989865011949026e-05,53
PA,42059,0.0026156474205671337,82
PA,42099,0.0008679731683213286,237
PA,42075,0.0024183929297055978,188
PA,42069,0.003698646886208021,61
PA,42113,0.0035321062943237946,11
PA,42063,0.0024730053628544174,158
PA,42033,0.0036480373559025243,26
PA,42001,0.0024183929297055978,188
PA,42107,0.0025017233233419305,28
PA,42109,0.0033400044176411137,42
PA,42085,0.0025722080284068766,25
PA,42073,0.0024730053628544174,158
PA,42035,0.0024730053628544174,158
PA,42079,0.0023426781197596965,65
PA,42043,0.0008679731683213286,237
PA,42049,0.0016421565033796167,47
PA,42057,0.0035321062943237946,11
PA,42025,0.0034270971716821655,15
PA,42051,9.989865011949026e-05,53
PA,42011,0.0008679731683213286,237
PA,42087,0.0049159061426067956,18
PA,42027,0.00326971725550259,16
PA,42095,0.0008679731683213286,237
PA,42009,0.0026156474205671337,82
PA,42041,0.0008679731683213286,237
PA,42117,0.0026156474205671337,82
PA,42123,0.0026156474205671337,82
PA,42023,0.0033400044176411137,42
PA,42047,0.0033400044176411137,42
PA,42089,0.002982972475601411,38
PA,42091,9.989865011949026e-05,53
PA,42061,0.0026156474205671337,82
PA,42077,0.0008679731683213286,237
PA,42105,0.0035321062943237946,11
PA,42103,0.003849475632325725,13
PA,42119,0.006735014592531617,15
PA,42013,0.0019213877909530083,21
PA,42071,0.0008679731683213286,237
PA,42003,9.989865011949026e-05,53
PA,42017,9.989865011949026e-05,53
PA,42055,0.003197428230698768,31
PA,42031,0.0026156474205671337,82
PA,42133,0.0008679731683213286,237
PA,42039,0.0024730053628544174,158
PA,42127,0.0026156474205671337,82
PA,42045,9.989865011949026e-05,53
PA,42121,0.0024730053628544174,158
PA,42067,0.0026156474205671337,82
PA,42015,0.005525603883271618,24
PA,42029,9.989865011949026e-05,53
PA,42083,0.002925086524505973,11
NY,36053,0.0031980489600588993,13
NY,36021,0.005606937930673094,18
NY,36101,0.003483191330185336,197
NY,36097,0.002883354095682806,59
NY,36115,0.004647306525865643,18
NY,36005,0.0025360463870268725,37
NY,36037,0.003483191330185336,197
NY,36081,0.0024736018677518077,3511
NY,36007,0.003937350048751274,460
NY,36019,0.0026048732837683835,12
NY,36093,0.004456396465616596,51
NY,36111,0.004156420270987029,37
NY,36065,0.002510594433627305,47
NY,36059,0.003655961773530392,171
NY,36099,0.002883354095682806,59
NY,36075,0.003273785823622577,32
NY,36069,0.0024736018677518077,3511
NY,36113,0.0030197232807734143,102
NY,36063,0.0029435647584246855,40
NY,36033,0.003134150600413708,31
NY,36001,0.004255895906749797,66
NY,36107,0.003937350048751274,460
NY,36109,0.0049983056590986105,20
NY,36085,0.0024736018677518077,3511
NY,36073,0.0024736018677518077,3511
NY,36035,0.004795328421988901,21
NY,36079,0.0024736018677518077,3511
NY,36043,0.0025303741476888604,11
NY,36049,0.002883354095682806,59
NY,36057,0.004841442749939482,22
NY,36025,0.002883354095682806,59
NY,36051,0.0024736018677518077,3511
NY,36011,0.003810541924582306,20
NY,36087,0.002407544747124783,75
NY,36027,0.0038525863098793456,43
NY,36095,0.003937350048751274,460
NY,36009,0.003118902392182771,17
NY,36041,0.003134150600413708,31
NY,36117,0.0030275305664143725,16
NY,36123,0.0024736018677518077,3511
NY,36023,0.0030181827104753026,11
NY,36047,0.0024736018677518077,3511
NY,36089,0.003483191330185336,197
NY,36091,0.004749180128750152,33
NY,36061,0.002317572966445979,2387
NY,36077,0.004246284501061571,13
NY,36105,0.003357873440485557,21
NY,36103,0.00342102885492045,215
NY,36119,0.0025227863097769835,118
NY,36013,0.005313926851693133,58
NY,36071,0.002258220881867183,67
NY,36003,0.003134150600413708,31
NY,36017,0.002883354095682806,59
NY,36055,0.0017850212155503188,93
NY,36031,0.002883354095682806,59
NY,36039,0.002883354095682806,59
NY,36045,0.0017272295764991297,12
NY,36121,0.002883354095682806,59
NY,36067,0.004818255303923777,153
NY,36015,0.0030197232807734143,102
NY,36029,0.003478003993573496,214
NY,36083,0.004199032358293755,41
SC,45053,0.0017720042151746287,95
SC,45021,0.0032101291725284563,21
SC,45005,0.002359320527085883,141
SC,45037,0.0025455258625891835,750
SC,45081,0.0025455258625891835,750
SC,45007,0.0025450983374111563,49
SC,45019,0.0026019286433591506,85
SC,45065,0.002359320527085883,141
SC,45059,0.0029079088486671165,22
SC,45075,0.001204739524723638,16
SC,45069,0.002359320527085883,141
SC,45063,0.002949926882154203,70
SC,45033,0.002359320527085883,141
SC,45001,0.004335573379579449,12
SC,45085,0.0013073715174588571,18
SC,45073,0.005518372412570365,42
SC,45035,0.002071026805676496,22
SC,45079,0.002147000944401282,80
SC,45043,0.00258955026136391,18
SC,45049,0.0044874689546172955,14
SC,45057,0.002852276691359038,24
SC,45025,0.002075134168157424,13
SC,45051,0.0019668496432849966,56
SC,45011,0.002359320527085883,141
SC,45087,0.0025455258625891835,750
SC,45027,0.0023929082899769773,11
SC,45009,0.002359320527085883,141
SC,45041,0.0023240050353442432,42
SC,45023,0.002886056278097423,13
SC,45047,0.0013082130008622312,11
SC,45089,0.002359320527085883,141
SC,45091,0.0022937842943240084,43
SC,45061,0.002359320527085883,141
SC,45077,0.003346391769163322,36
SC,45013,0.001289773558312391,17
SC,45071,0.0027450431863482185,14
SC,45003,0.002958745614079759,49
SC,45017,0.0025455258625891835,750
SC,45055,0.0020518049666115373,14
SC,45031,0.00205327097473336,18
SC,45039,0.0025455258625891835,750
SC,45045,0.003141452269792391,129
SC,45067,0.0028372148008038774,16
SC,45015,0.0013111750023695934,22
SC,45029,0.002624815442664188,16
SC,45083,0.0027547820987097356,84
TN,47101,0.003452413127085668,259
TN,47183,0.00357216815075585,12
TN,47061,0.005313417307620852,12
TN,47129,0.0066877206018948546,15
TN,47005,0.00345284497016239,60
TN,47037,0.00257015504804812,183
TN,47055,0.003452413127085668,259
TN,47149,0.00256994096181802,62
TN,47111,0.003799392097264438,12
TN,47085,0.003452413127085668,259
TN,47179,0.004585396315625139,43
TN,47009,0.004627314716725285,46
TN,47049,0.003647661239284276,27
TN,47075,0.004858251621885831,14
TN,47069,0.006759057923554531,22
TN,47063,0.0038317600402167236,29
TN,47033,0.0038691600925882187,223
TN,47155,0.0019966722129783694,19
TN,47079,0.00345284497016239,60
TN,47043,0.0032842447386927354,992
TN,47025,0.0030834412145463105,11
TN,47051,0.003620040544454098,13
TN,47169,0.0032842447386927354,992
TN,47151,0.004905040351809791,17
TN,47041,0.003452413127085668,259
TN,47117,0.003452413127085668,259
TN,47047,0.0048370193212049556,15
TN,47157,0.003784542909767595,512
TN,47159,0.0032842447386927354,992
TN,47123,0.005578892097663429,29
TN,47187,0.0030612403462154055,17
TN,47013,0.0039817437834435004,22
TN,47087,0.0036748811067877215,44
TN,47143,0.003452413127085668,259
TN,47165,0.0028066635625226344,37
TN,47141,0.0024946584281342033,18
TN,47127,0.003647661239284276,27
TN,47045,0.003422129772529021,17
TN,47071,0.003486598387448246,11
TN,47153,0.00371796455845384,533
TN,47015,0.0032842447386927354,992
TN,47137,0.003647661239284276,27
TN,47029,0.003273824748068955,16
TN,47053,0.005658314620021274,32
TN,47021,0.003270685867708079,12
TN,47181,0.0036748811067877215,44
TN,47097,0.003375950166619476,13
TN,47103,0.003452413127085668,259
TN,47081,0.0032842447386927354,992
TN,47007,0.0036748811067877215,44
TN,47019,0.003919997710950242,23
TN,47189,0.0036572841783161824,30
TN,47093,0.004114621235532782,139
TN,47135,0.0036748811067877215,44
TN,47125,0.0032936560793383625,49
TN,47175,0.003647661239284276,27
TN,47139,0.0038691600925882187,223
TN,47027,0.003647661239284276,27
TN,47099,0.003452413127085668,259
TN,47073,0.0034510477880031047,21
TN,47095,0.003647661239284276,27
TN,47119,0.004369213247061827,38
TN,47001,0.0035144419834561317,26
TN,47107,0.0025210469220308942,14
TN,47109,0.003452413127085668,259
TN,47065,0.0030656808180351217,94
TN,47171,0.0038691600925882187,223
TN,47067,0.0036748811067877215,44
TN,47035,0.004228587073909009,24
TN,47057,0.004390195230651545,11
TN,47031,0.0025849741502584974,16
TN,47011,0.004649885897633877,46
TN,47059,0.004319288035180667,28
TN,47113,0.003533359506366714,41
TN,47145,0.0051824506602300155,25
TN,47147,0.0037476577139287947,26
TN,47121,0.0036748811067877215,44
TN,47017,0.003452413127085668,259
TN,47167,0.003371726717857846,23
TN,47023,0.0038691600925882187,223
TN,47089,0.0025716273863189425,15
TN,47115,0.00371796455845384,533
TN,47077,0.004599645774405879,15
TN,47177,0.0030068154483495926,15
TN,47105,0.002679183368294253,11
TN,47161,0.0036748811067877215,44
TN,47185,0.00345284497016239,60
TN,47133,0.00345284497016239,60
TN,47173,0.00371796455845384,533
TN,47003,0.0036279337803855824,24
TN,47131,0.00345284497016239,60
TN,47163,0.0037069907566728852,52
TN,47039,0.003647661239284276,27
TN,47091,0.003452413127085668,259
TN,47083,0.0036748811067877215,44
TX,48293,0.002836777916833449,394
TX,48217,0.002836777916833449,394
TX,48101,0.00136067597995303,26
TX,48183,0.004059324675985723,55
TX,48193,0.002836777916833449,394
TX,48351,0.0035536903692018388,2256
TX,48261,0.00136067597995303,26
TX,48129,0.00136067597995303,26
TX,48005,0.00283570478556551,29
TX,48471,0.0028342917813411373,216
TX,48037,0.0025563740942576582,25
TX,48123,0.002836777916833449,394
TX,48055,0.002513866166553609,11
TX,48497,0.0023015516651176725,3689
TX,48359,0.0035536903692018388,2256
TX,48149,0.002836777916833449,394
TX,48111,0.002456414973132463,134
TX,48073,0.0019752952795854587,14
TX,48209,0.001966303594011341,22
TX,48179,0.002836777916833449,394
TX,48289,0.00136067597995303,26
TX,48075,0.002456414973132463,134
TX,48457,0.002836777916833449,394
TX,48373,0.0038661197226558244,18
TX,48369,0.002456414973132463,134
TX,48233,0.002836777916833449,394
TX,48303,0.0020633484162895926,60
TX,48449,0.002456414973132463,134
TX,48315,0.00136067597995303,26
TX,48433,0.00136067597995303,26
TX,48235,0.0028684123886150064,456
TX,48409,0.0024114816270595857,19
TX,48165,0.002456414973132463,134
TX,48051,0.0028684123886150064,456
TX,48239,0.002836777916833449,394
TX,48331,0.0047745845193278855,13
TX,48463,0.002836777916833449,394
TX,48295,0.00136067597995303,26
TX,48397,0.0023015516651176725,3689
TX,48301,0.00136067597995303,26
TX,48435,0.002456414973132463,134
TX,48041,0.002049956933677864,30
TX,48367,0.0037884839217655246,29
TX,48499,0.003314976207025611,11
TX,48047,0.002456414973132463,134
TX,48157,0.0018333560645005613,60
TX,48159,0.002456414973132463,134
TX,48451,0.00360402406139805,36
TX,48321,0.0028342917813411373,216
TX,48439,0.0022008374437432793,385
TX,48411,0.002456414973132463,134
TX,48013,0.004681454352128068,27
TX,48199,0.003210338937707077,13
TX,48071,0.0023015516651176725,3689
TX,48377,0.002456414973132463,134
TX,48141,0.0036678003863337403,429
TX,48299,0.002456414973132463,134
TX,48099,0.0034034653465346535,14
TX,48205,0.002456414973132463,134
TX,48121,0.002315086556390649,73
TX,48023,0.00136067597995303,26
TX,48011,0.0035536903692018388,2256
TX,48361,0.0013871105420401196,11
TX,48375,0.0022904497182793877,42
TX,48029,0.003790727812677663,740
TX,48053,0.003331880974959633,11
TX,48021,0.0025533970532417793,20
TX,48313,0.002836777916833449,394
TX,48381,0.004201161497590511,26
TX,48181,0.004728728602503074,53
TX,48365,0.002836777916833449,394
TX,48479,0.002115852606353041,116
TX,48475,0.002836777916833449,394
TX,48103,0.002836777916833449,394
TX,48081,0.00136067597995303,26
TX,48333,0.00136067597995303,26
TX,48277,0.002948076804346484,16
TX,48323,0.0029099386223030085,33
TX,48337,0.002836777916833449,394
TX,48093,0.002456414973132463,134
TX,48423,0.0027082119976703555,55
TX,48175,0.0028684123886150064,456
TX,48319,0.00136067597995303,26
TX,48171,0.002456414973132463,134
TX,48133,0.002836777916833449,394
TX,48415,0.002456414973132463,134
TX,48001,0.003605624083498663,18
TX,48255,0.002836777916833449,394
TX,48109,0.00136067597995303,26
TX,48401,0.0028684123886150064,456
TX,48201,0.001713063469802053,845
TX,48291,0.0013497723518272292,12
TX,48501,0.002456414973132463,134
TX,48247,0.002836777916833449,394
TX,48307,0.002456414973132463,134
TX,48287,0.002836777916833449,394
TX,48137,0.00136067597995303,26
TX,48461,0.00136067597995303,26
TX,48241,0.00271312900080546,11
TX,48465,0.0018186034590081898,13
TX,48027,0.00436949195017494,116
TX,48113,0.0020325334436358524,629
TX,48009,0.0028684123886150064,456
TX,48147,0.004391230176281039,12
TX,48253,0.0028684123886150064,456
TX,48483,0.00136067597995303,26
TX,48167,0.0010301813268436886,26
TX,48067,0.002836777916833449,394
TX,48089,0.002836777916833449,394
TX,48211,0.002456414973132463,134
TX,48243,0.00136067597995303,26
TX,48343,0.002836777916833449,394
TX,48077,0.0028684123886150064,456
TX,48191,0.00136067597995303,26
TX,48177,0.002836777916833449,394
TX,48407,0.00136067597995303,26
TX,48185,0.002836777916833449,394
TX,48273,0.0028342917813411373,216
TX,48495,0.002836777916833449,394
TX,48493,0.005361782101597479,17
TX,48469,0.0022195029326131906,22
TX,48213,0.0030113238323278163,24
TX,48485,0.002657327508394411,31
TX,48325,0.002626687141356179,11
TX,48275,0.00136067597995303,26
TX,48341,0.002456414973132463,134
TX,48245,0.0017876938444858629,50
TX,48039,0.0022760538641686183,53
TX,48225,0.002456414973132463,134
TX,48223,0.002836777916833449,394
TX,48251,0.003479726252958732,47
TX,48283,0.002836777916833449,394
TX,48349,0.002090611132841478,13
TX,48431,0.00136067597995303,26
TX,48355,0.002866488052043676,115
TX,48115,0.002456414973132463,134
TX,48151,0.00136067597995303,26
TX,48507,0.006219120339978579,15
TX,48387,0.002836777916833449,394
TX,48429,0.002456414973132463,134
TX,48421,0.00136067597995303,26
TX,48139,0.0016656611494373476,24
TX,48467,0.005635651284426688,25
TX,48049,0.0026299028602038968,109
TX,48069,0.002836777916833449,394
TX,48347,0.002476148005586002,18
TX,48063,0.002836777916833449,394
TX,48033,0.00136067597995303,26
TX,48057,0.002836777916833449,394
TX,48477,0.002836777916833449,394
TX,48443,0.00136067597995303,26
TX,48155,0.00136067597995303,26
TX,48079,0.00136067597995303,26
TX,48043,0.002456414973132463,134
TX,48025,0.002836777916833449,394
TX,48045,0.00136067597995303,26
TX,48207,0.002836777916833449,394
TX,48413,0.00136067597995303,26
TX,48259,0.007108519995908766,12
TX,48169,0.002836777916833449,394
TX,48309,0.002654908423934714,69
TX,48453,0.0025103801998834674,228
TX,48395,0.0028684123886150064,456
TX,48329,0.0019013286484595435,21
TX,48117,0.002836777916833449,394
TX,48441,0.0023992861627945405,31
TX,48065,0.0035536903692018388,2256
TX,48257,0.0016083104830204597,16
TX,48455,0.002456414973132463,134
TX,48227,0.0028342917813411373,216
TX,48229,0.0035536903692018388,2256
TX,48187,0.0040150697773139715,39
TX,48357,0.002456414973132463,134
TX,48339,0.0026242798682451834,86
TX,48491,0.0037268154136877816,87
TX,48445,0.002836777916833449,394
TX,48327,0.00136067597995303,26
TX,48237,0.002836777916833449,394
TX,48007,0.0035536903692018388,2256
TX,48195,0.002456414973132463,134
TX,48127,0.002836777916833449,394
TX,48019,0.0023015516651176725,3689
TX,48215,0.005218549082509371,904
TX,48173,0.00136067597995303,26
TX,48153,0.002836777916833449,394
TX,48189,0.0028342917813411373,216
TX,48015,0.0023015516651176725,3689
TX,48363,0.002836777916833449,394
TX,48083,0.002836777916833449,394
TX,48371,0.002456414973132463,134
TX,48425,0.0023015516651176725,3689
TX,48473,0.0023015516651176725,3689
TX,48131,0.002456414973132463,134
TX,48097,0.004471126070683982,16
TX,48403,0.00136067597995303,26
TX,48143,0.0028342917813411373,216
TX,48221,0.003193527783691718,12
TX,48297,0.00136067597995303,26
TX,48135,0.0032144520937936747,54
TX,48203,0.0021921812203142127,15
TX,48125,0.00136067597995303,26
TX,48305,0.0035536903692018388,2256
TX,48489,0.002836777916833449,394
TX,48119,0.00136067597995303,26
TX,48107,0.0035536903692018388,2256
TX,48311,0.00136067597995303,26
TX,48085,0.003169610066106729,104
TX,48281,0.0035536903692018388,2256
TX,48219,0.002836777916833449,394
TX,48405,0.00136067597995303,26
TX,48447,0.00136067597995303,26
TX,48035,0.002836777916833449,394
TX,48427,0.005289738342984022,82
TX,48271,0.002456414973132463,134
TX,48505,0.006461790492370233,19
TX,48389,0.002456414973132463,134
TX,48087,0.00136067597995303,26
TX,48031,0.00136067597995303,26
TX,48197,0.00136067597995303,26
TX,48385,0.00136067597995303,26
TX,48345,0.00136067597995303,26
TX,48059,0.0028684123886150064,456
TX,48095,0.00136067597995303,26
TX,48145,0.0035536903692018388,2256
TX,48379,0.00136067597995303,26
TX,48269,0.00136067597995303,26
TX,48285,0.002836777916833449,394
TX,48419,0.0037321169396641093,12
TX,48459,0.005235716311437859,20
TX,48267,0.002456414973132463,134
TX,48279,0.002836777916833449,394
TX,48393,0.00136067597995303,26
TX,48061,0.0029227688071097758,241
TX,48503,0.002456414973132463,134
TX,48105,0.002456414973132463,134
TX,48161,0.002456414973132463,134
TX,48417,0.00136067597995303,26
TX,48383,0.002836777916833449,394
TX,48249,0.002403227190799073,14
TX,48487,0.002836777916833449,394
TX,48003,0.002836777916833449,394
TX,48017,0.002456414973132463,134
TX,48231,0.002363576049096036,20
TX,48481,0.0028342917813411373,216
TX,48163,0.004522531316089149,12
TX,48335,0.002456414973132463,134
TX,48399,0.002836777916833449,394
TX,48437,0.002836777916833449,394
TX,48091,0.0025390393748437766,18
