State,County,Prevalence,Number in Group
GA,13251,0.009009009009009009,18
GA,13293,0.013472540799915632,46
GA,13217,0.017371795371156587,211
GA,13101,0.01494167983706023,2585
GA,13183,0.013838013838013839,24
GA,13193,0.011853043711450791,20
GA,13061,0.011618545252637424,75
GA,13129,0.010244023107256668,66
GA,13005,0.012588562753036438,18
GA,13237,0.015530047265361242,35
GA,13037,0.01362108385742877,199
GA,13257,0.025074336688014637,80
GA,13055,0.011241830065359478,37
GA,13277,0.017174726869890748,101
GA,13149,0.01248657357679914,17
GA,13111,0.016728545214014425,42
GA,13171,0.02584281612251409,46
GA,13179,0.02009752699407872,104
GA,13009,0.019234498002869662,92
GA,13209,0.015769088897085948,15
GA,13049,0.009670259987317692,14
GA,13289,0.01796595923513343,15
GA,13075,0.01950305385896724,52
GA,13069,0.005878676032861055,39
GA,13063,0.007927815051329723,368
GA,13033,0.007878729824225298,30
GA,13259,0.01362108385742877,199
GA,13233,0.02410305439541086,129
GA,13303,0.022957579145992033,63
GA,13315,0.01362108385742877,199
GA,13155,0.01138800562005472,16
GA,13085,0.016158518605885474,28
GA,13079,0.01597172219676638,22
GA,13043,0.00792393026941363,12
GA,13269,0.039060205580029365,38
GA,13025,0.019695795783550137,46
GA,13051,0.015773630789534168,397
GA,13207,0.03329989011514022,65
GA,13309,0.017475498878261896,13
GA,13239,0.011618545252637424,75
GA,13261,0.010804694201602454,53
GA,13235,0.018319253001333927,19
GA,13295,0.010475308202095062,70
GA,13169,0.0164998759407824,38
GA,13219,0.010386725894956886,17
GA,13151,0.015049286090655563,225
GA,13287,0.011965582145738101,16
GA,13299,0.014553375226492925,70
GA,13117,0.01285358411580018,82
GA,13047,0.011683158199499293,64
GA,13157,0.012520839712837264,67
GA,13159,0.01074338085539715,22
GA,13123,0.015734528716267036,48
GA,13227,0.02202934922792708,58
GA,13229,0.013317767112033554,28
GA,13187,0.015442247658688867,35
GA,13321,0.01940421862086313,53
GA,13013,0.013160134613118232,95
GA,13199,0.016268004115226338,46
GA,13057,0.02351455429958823,248
GA,13213,0.013056320064442505,73
GA,13143,0.02507863640227833,80
GA,13165,0.009800465345836566,12
GA,13141,0.014871234207968901,572
GA,13127,0.018858665952914674,159
GA,13221,0.017432115320147504,16
GA,13205,0.007981727366280967,30
GA,13045,0.0129974021036624,153
GA,13121,0.018762493598530113,1715
GA,13153,0.011406005554828083,155
GA,13297,0.013824036802760207,113
GA,13015,0.017830112149063753,202
GA,13137,0.012940651494868362,51
GA,13301,0.01362108385742877,199
GA,13029,0.011614949425681467,24
GA,13053,0.01281579044517275,1479
GA,13021,0.022073094509687818,496
GA,13197,0.01281579044517275,1479
GA,13181,0.01281579044517275,1479
GA,13097,0.011682502125771748,150
GA,13305,0.010286225402504472,42
GA,13103,0.010206815911914448,42
GA,13081,0.012967141264036931,48
GA,13007,0.01494167983706023,2585
GA,13019,0.015974784197141732,40
GA,13189,0.014327301786631656,47
GA,13093,0.011440028305224673,17
GA,13135,0.0069860408889626776,536
GA,13125,0.011618545252637424,75
GA,13313,0.014143236309598621,185
GA,13175,0.020467914082670145,142
GA,13139,0.0062058177404326976,133
GA,13027,0.013315217391304347,25
GA,13099,0.010976400738412414,20
GA,13073,0.010403961734581416,76
GA,13095,0.00898455779129621,146
GA,13119,0.010404004290311047,27
GA,13001,0.02528977871443625,73
GA,13255,0.014680454692502481,122
GA,13107,0.012062635798306735,43
GA,13109,0.012075471698113207,20
GA,13311,0.017980221756068324,38
GA,13201,0.01362108385742877,199
GA,13291,0.011438962867366693,18
GA,13065,0.012544347077422451,1170
GA,13281,0.019853431045969355,13
GA,13067,0.008609469310099442,462
GA,13247,0.014718120415707069,139
GA,13307,0.01362108385742877,199
GA,13035,0.019894450663681434,56
GA,13271,0.013940467348454551,21
GA,13071,0.012800905576763286,93
GA,13087,0.010921148067557765,55
GA,13031,0.011048243001786778,69
GA,13011,0.01362108385742877,199
GA,13195,0.011204555640505128,38
GA,13241,0.02694610778443114,38
GA,13059,0.012467881078312775,134
GA,13113,0.014471307640415206,63
GA,13145,0.023731587561374796,36
GA,13319,0.023198766470423324,30
GA,13147,0.021713356593611326,59
GA,13253,0.014881800056963828,20
GA,13211,0.021602534143428363,39
GA,13017,0.013390957011426513,39
GA,13167,0.010091893665900886,12
GA,13023,0.016815988973121986,26
GA,13267,0.012047351328700632,30
GA,13089,0.012584119586915245,1007
GA,13279,0.017201594294105307,81
GA,13243,0.018095768374164812,17
GA,13115,0.023071189903946805,253
GA,13077,0.016016016016016016,159
GA,13191,0.017996684821217145,21
GA,13177,0.0099791738979521,24
GA,13105,0.009172608437314319,22
GA,13161,0.009415427957148682,25
GA,13185,0.020356976606846336,264
GA,13273,0.009376438104003681,15
GA,13133,0.008158937955194985,16
GA,13317,0.012544347077422451,1170
GA,13249,0.01362108385742877,199
GA,13215,0.013306177868295995,316
GA,13173,0.012640339169349141,14
GA,13003,0.011618545252637424,75
GA,13131,0.007778189322186359,28
GA,13231,0.02141776277499709,33
GA,13275,0.017917556248973558,103
GA,13163,0.012310430494271201,30
GA,13245,0.011909466033568046,346
GA,13039,0.01849788794504015,79
GA,13225,0.008802976676649425,26
GA,13223,0.015638489914449414,155
GA,13285,0.019160819468237392,152
GA,13091,0.01556997219647822,40
GA,13283,0.01438417740485466,12
GA,13263,0.01362108385742877,199
GA,13083,0.009335080248935474,11
GA,13265,0.01362108385742877,199
PA,42053,0.00427715996578272,13
PA,42021,0.0019572503894112756,24
PA,42101,0.00012572594462470618,39
PA,42097,0.0033738931316305526,26
PA,42115,0.003047488896481039,100
PA,42129,0.0003366517009938903,197
PA,42005,0.0003366517009938903,197
PA,42037,0.002026280307950795,174
PA,42081,0.003070149460009082,28
PA,42007,0.0003366517009938903,197
PA,42019,0.008726835735200144,79
PA,42093,0.002026280307950795,174
PA,42111,0.0025064062996838937,169
PA,42065,0.00415377817057004,17
PA,42131,0.0012438547280418607,362
PA,42125,0.0003366517009938903,197
PA,42059,0.003047488896481039,100
PA,42099,0.0012438547280418607,362
PA,42075,0.002026280307950795,174
PA,42069,0.004865299967394848,87
PA,42113,0.00427715996578272,13
PA,42063,0.0025064062996838937,169
PA,42033,0.0035142759861860984,25
PA,42001,0.002026280307950795,174
PA,42107,0.0035783163324581172,42
PA,42109,0.003647900616461737,48
PA,42085,0.0025289048629454814,26
PA,42073,0.0025064062996838937,169
PA,42035,0.0025064062996838937,169
PA,42079,0.0034315723321314017,97
PA,42043,0.0012438547280418607,362
PA,42049,0.0031963403369353253,97
PA,42057,0.00427715996578272,13
PA,42025,0.0021948824582683534,11
PA,42051,0.0003366517009938903,197
PA,42011,0.00033604456613570046,16
PA,42087,0.0029131295659892125,11
PA,42027,0.005592937410728115,30
PA,42095,0.0012438547280418607,362
PA,42009,0.003047488896481039,100
PA,42041,0.0012438547280418607,362
PA,42117,0.003047488896481039,100
PA,42123,0.003047488896481039,100
PA,42023,0.003647900616461737,48
PA,42047,0.003647900616461737,48
PA,42089,0.0019665030128686364,28
PA,42091,0.00040671586245029026,17
PA,42061,0.003047488896481039,100
PA,42077,0.0012438547280418607,362
PA,42105,0.00427715996578272,13
PA,42103,0.0003366517009938903,197
PA,42119,0.0025064062996838937,169
PA,42013,0.0016547462199636113,19
PA,42071,0.0012438547280418607,362
PA,42003,0.0002241981147250909,23
PA,42017,0.0003366517009938903,197
PA,42055,0.0026875680533711265,31
PA,42031,0.004542873367404884,12
PA,42133,0.0012438547280418607,362
PA,42039,0.0028254311315232565,23
PA,42127,0.006460009465215333,24
PA,42045,0.00022181878482070366,11
PA,42121,0.005483730389308541,26
PA,42067,0.003047488896481039,100
PA,42015,0.006254676617869956,30
PA,42029,0.0003366517009938903,197
PA,42083,0.00343865133415206,13
NY,36053,0.01661144855512608,63
NY,36021,0.003930096680378337,13
