State,County,Prevalence,Number in Group
GA,13231,0.012683112435791743,20
GA,13227,0.01897178085207882,51
GA,13247,0.013876843018213356,121
GA,13301,0.013426096263839182,186
GA,13229,0.010134993061104335,21
GA,13019,0.011849218692142487,29
GA,13289,0.012388685586844875,2148
GA,13219,0.02649050590890984,35
GA,13029,0.020907610370174745,43
GA,13017,0.01356366383132451,38
GA,13101,0.012388685586844875,2148
GA,13297,0.018901386657144557,145
GA,13167,0.011925907130170008,13
GA,13257,0.022662728615244803,70
GA,13069,0.008249326431144613,50
GA,13075,0.011699083632148936,28
GA,13007,0.012388685586844875,2148
GA,13303,0.010153182155870803,26
GA,13129,0.010803470388532629,64
GA,13147,0.01562714187799863,41
GA,13063,0.005859569167672176,274
GA,13133,0.011033485907010358,20
GA,13059,0.014070366818508751,169
GA,13123,0.012382632806099943,41
GA,13111,0.02177502119494891,47
GA,13233,0.016104562959505193,87
GA,13095,0.00952002747606577,156
GA,13255,0.010194422986955056,83
GA,13291,0.01896046414259226,30
GA,13105,0.014577901810303676,38
GA,13141,0.013098264073614313,478
GA,13109,0.02745552977571539,43
GA,13185,0.010867913056695546,145
GA,13099,0.011681210098491757,1059
GA,13175,0.008571075707051994,64
GA,13197,0.01443524624211428,1625
GA,13097,0.02270360341595501,306
GA,13093,0.011681210098491757,1059
GA,13087,0.007037462261342858,30
GA,13249,0.013426096263839182,186
GA,13271,0.007797004308870802,11
GA,13171,0.014318825650270409,25
GA,13033,0.018747051374369925,66
GA,13117,0.018265938481564277,131
GA,13223,0.01605405709358775,161
GA,13267,0.02498651806579184,63
GA,13221,0.013452065176203107,13
GA,13153,0.011038180144712355,152
GA,13173,0.013107170393215111,15
GA,13107,0.016837793264882692,57
GA,13015,0.018563500497613145,203
GA,13299,0.009622149961016981,47
GA,13287,0.011681210098491757,1059
GA,13211,0.013858374176102755,22
GA,13047,0.015335914930235417,96
GA,13187,0.02248021567092791,47
GA,13025,0.014259429622815088,30
GA,13143,0.022239373409941973,70
GA,13181,0.01443524624211428,1625
GA,13155,0.0164257555847569,20
GA,13159,0.015021213163628025,24
GA,13169,0.014872814649101002,37
GA,13319,0.011756323477021732,14
GA,13295,0.01681572168678186,108
GA,13121,0.010292302174382591,933
GA,13285,0.009651468377382743,77
GA,13201,0.013426096263839182,186
GA,13139,0.013591145295342222,310
GA,13269,0.013426096263839182,186
GA,13145,0.00773581226028733,11
GA,13307,0.013426096263839182,186
GA,13177,0.02142235754675946,52
GA,13245,0.016626025988474003,462
GA,13083,0.014678574586612432,15
GA,13065,0.013024357239512856,14
GA,13321,0.01232257058181251,30
GA,13195,0.022255480723926722,74
GA,13053,0.01443524624211428,1625
GA,13067,0.009521031573501813,483
GA,13085,0.027463651050080775,44
GA,13311,0.015182186234817813,34
GA,13213,0.012265016047684549,68
GA,13283,0.013098264073614313,478
GA,13193,0.007634069400630915,11
GA,13239,0.011104381183121341,73
GA,13149,0.009099362380446334,12
GA,13205,0.006304929308368361,22
GA,13051,0.01081350734716934,273
GA,13225,0.011151507744951269,32
GA,13207,0.012892867568356524,25
GA,13189,0.014475920679886685,47
GA,13243,0.011681210098491757,1059
