State,County,Prevalence,Number in Group
GA,13231,0.09772338131777539,143
GA,13227,0.10051007302484312,263
GA,13247,0.10227029233202388,928
GA,13301,0.11831463605530916,80
GA,13229,0.11207367845578031,244
GA,13019,0.10756868843960601,270
GA,13289,0.07793598115833422,65
GA,13219,0.09480812641083522,133
GA,13029,0.08653549892160746,181
GA,13017,0.12657230122499918,351
GA,13101,0.12067510548523207,66
GA,13297,0.10668333035767423,811
GA,13167,0.09735261777890553,101
GA,13257,0.2148983301147336,687
GA,13069,0.07692307692307693,476
GA,13075,0.10101778405592379,259
GA,13007,0.24516129032258063,88
GA,13303,0.1826511479817455,467
GA,13129,0.08473783477932856,520
GA,13147,0.11939684715558602,315
GA,13063,0.11634149241628282,5541
GA,13133,0.09438689472416285,174
GA,13059,0.11925347638456006,1430
GA,13123,0.07722603818766148,228
GA,13111,0.09780911159698362,202
GA,13233,0.10988113298767985,594
GA,13095,0.141383677499678,2369
GA,13255,0.09241347796285618,766
GA,13291,0.07374842993001973,116
GA,13105,0.08636580619101825,211
GA,13141,0.1320163606300583,135
GA,13109,0.09805546348469782,156
GA,13185,0.14729373074106317,1928
GA,13099,0.12732356443846113,218
GA,13175,0.10055576139310855,728
GA,13197,0.16864843440348792,153
GA,13097,0.10443388810126923,1461
GA,13093,0.20560325350203343,286
GA,13087,0.10486031381553769,442
GA,13249,0.2868217054263566,144
GA,13271,0.09493194719923398,122
GA,13171,0.09353592583054339,170
GA,13033,0.094877461326447,339
GA,13117,0.09355103426808908,620
GA,13223,0.0963243425615265,965
GA,13267,0.10095272335071005,252
GA,13221,0.07322849564228874,70
GA,13153,0.09577619972186205,1301
GA,13173,0.12898997686969932,153
GA,13107,0.10791615683353727,371
GA,13015,0.10971948113287114,1199
GA,13299,0.1297849278338753,621
GA,13287,0.1401685393258427,177
GA,13211,0.08715001971719903,139
GA,13047,0.09499661933739013,582
GA,13187,0.12135837898947735,264
GA,13025,0.11645897800451618,259
GA,13143,0.10810965326015494,342
GA,13181,0.07936507936507936,59
GA,13155,0.15447510585486932,194
GA,13159,0.10044719642242862,156
GA,13169,0.06197696578009777,133
GA,13319,0.07844674029212682,96
GA,13295,0.10452664177592544,662
GA,13121,0.10795325067522178,9966
GA,13285,0.08603693035105638,686
GA,13201,0.13803230543318648,102
GA,13139,0.11466461137508542,2680
GA,13269,0.11157318186428644,96
GA,13145,0.07365273353702138,105
GA,13307,0.18664109939277723,53
GA,13177,0.1619182253153545,412
GA,13245,0.10983331931930637,3049
GA,13083,0.09983199221858696,107
GA,13065,0.11222936400541272,122
GA,13321,0.1395648104819841,332
GA,13195,0.09991408220393004,323
GA,13053,0.06365985435752877,25
GA,13067,0.09969565719883547,5148
GA,13085,0.1050080775444265,158
GA,13311,0.1021002024291498,217
GA,13213,0.11860548896312308,664
GA,13283,0.07609270822309239,63
GA,13193,0.2358359621451104,336
GA,13239,0.16075085324232083,42
GA,13149,0.11158342189160468,154
GA,13205,0.1980457448550685,651
GA,13051,0.08382302235329504,2103
GA,13225,0.09177843634474962,265
GA,13207,0.07083779313029094,135
GA,13189,0.10620396600566573,340
GA,13243,0.14090380139643136,130
GA,13199,0.08238017899720101,216
GA,13161,0.11063562482823604,256
GA,13035,0.10321388991503509,255
GA,13079,0.06756131420638593,90
GA,13011,0.098501303214596,164
GA,13317,0.10784958013873676,132
GA,13039,0.06697502744878174,272
GA,13045,0.13486622339579424,1542
GA,13259,0.15203122228135532,81
GA,13115,0.09584210132330802,1045
GA,13163,0.11142301070439405,265
GA,13191,0.0663874180036355,77
GA,13277,0.13070786722904823,764
GA,13157,0.10324279132646708,528
GA,13151,0.11809678169151229,1756
GA,13281,0.07525884716427136,50
GA,13127,0.08939615427864613,728
GA,13137,0.09664027585581089,395
GA,13023,0.14999251160700913,179
GA,13179,0.11848907959061654,637
GA,13241,0.136464593676509,190
GA,13071,0.08555280466151499,620
GA,13057,0.08493229977394147,1034
GA,13003,0.07720564119383404,108
GA,13055,0.1448476313187307,439
GA,13313,0.09322310288596458,1146
GA,13013,0.09462604401705868,751
GA,13183,0.12646844786360328,229
GA,13125,0.10096153846153846,33
GA,13089,0.1127679556521158,8861
GA,13103,0.07819388595513783,303
GA,13293,0.12703617798395053,424
GA,13235,0.15776699029126215,151
GA,13021,0.06659705398009848,1446
GA,13135,0.11103620314383397,8531
GA,13217,0.11024366784225713,1253
GA,13031,0.09356919694515159,593
GA,13253,0.1409149762624083,176
GA,13273,0.1507662835249042,209
GA,13027,0.15242842769596635,305
GA,13305,0.15282293360010005,878
GA,13261,0.31526542686556397,1572
GA,13279,0.08769174501409178,364
GA,13037,0.13343778561169867,88
GA,13009,0.09286370367593304,438
GA,13091,0.11284797417017758,259
GA,13265,0.10140237324703344,25
GA,13215,0.0854355503580212,2021
GA,13263,0.09806138933764136,55
GA,13131,0.14038781163434902,465
GA,13043,0.08619671744007557,134
GA,13275,0.16054330536755762,932
GA,13251,0.11179277436946149,209
GA,13005,0.09496682108426192,140
GA,13209,0.06252513067953358,60
GA,13001,0.1252300669955091,310
GA,13237,0.0853753403345002,201
GA,13113,0.11429524882159095,529
GA,13077,0.09081214729252779,894
GA,13073,0.08172429913161734,533
GA,13081,0.19035366397983564,644
GA,13049,0.0806620912394025,93
GA,13061,0.12739938080495355,71
GA,13315,0.12247960236331239,117
GA,13165,0.09212966397151547,113
GA,13119,0.15552026563684268,396
GA,13309,0.09477005217813372,68
PA,42093,0.09045815295815296,86
PA,42019,0.006544068134181849,60
PA,42051,0.0053834067434252895,78
PA,42121,0.0962848411208071,449
PA,42097,0.08937279706436194,648
PA,42029,0.0557517647834979,1112
PA,42035,0.07254991617131534,207
PA,42079,0.06659931088277023,1889
PA,42101,0.07841752605589986,17913
PA,42127,0.10682333438970283,380
PA,42125,0.0044251703690592085,60
PA,42039,0.03757499585003202,273
PA,42069,0.09719620505622233,1680
PA,42075,0.021501152762360174,222
PA,42007,0.009362572742854434,124
PA,42045,0.09144629899174485,3733
PA,42129,0.006411460685834429,143
PA,42115,0.1014821932966425,310
PA,42133,0.02121195118529948,676
PA,42067,0.10313168154949064,143
PA,42059,0.005964158516592232,20
PA,42123,0.034311628304954225,105
PA,42073,0.016294642857142858,123
PA,42017,0.06334901596978332,1663
PA,42065,0.09260035391636398,342
PA,42023,0.0628698224852071,29
PA,42071,0.03782535083346085,1351
PA,42057,0.06488911899214772,66
PA,42003,0.010200778528989962,879
PA,42109,0.11130100405896176,271
PA,42055,0.0513461456148611,538
PA,42099,0.009350237717908083,27
PA,42013,0.03921289147563052,433
PA,42015,0.10683794781776111,485
PA,42085,0.05532171828101893,549
PA,42089,0.07805576569761158,1025
PA,42087,0.12242586728915802,453
PA,42103,0.09102633245011373,340
PA,42047,0.07702681262890687,164
PA,42021,0.04406625635094386,470
PA,42117,0.09872270811048889,286
PA,42005,0.005597938320277166,29
PA,42027,0.09256654685627963,470
PA,42041,0.014531266307532976,164
PA,42037,0.11220704946227647,476
PA,42009,0.031682737620532156,116
PA,42113,0.09213161659513591,28
PA,42091,0.06695092971600415,2270
PA,42025,0.09515872414576862,448
PA,42095,0.048091259459307395,904
PA,42105,0.05927850625415433,84
PA,42063,0.005491241309548658,29
PA,42043,0.010853970199219859,264
PA,42107,0.08114861199196155,918
PA,42111,0.03967469922026603,198
PA,42033,0.07997409951373106,548
PA,42011,0.08370902629340107,3120
PA,42131,0.08164117991142308,170
PA,42001,0.014391700529491442,92
PA,42083,0.07922974827345736,317
PA,42077,0.058060393034030995,1792
PA,42031,0.0611198738170347,161
PA,42081,0.09687817597601914,829
PA,42053,0.093255620316403,30
PA,42049,0.04036902120875546,1205
PA,42061,0.0482947984295209,163
PA,42119,0.08504164606549272,194
NY,36093,0.12231816905363661,1539
NY,36019,0.12150511247443763,649
NY,36051,0.10213709365574489,351
NY,36121,0.06609007120080373,135
NY,36097,0.10312229545303242,136
NY,36029,0.09867555658926748,6718
NY,36035,0.12927489177489176,630
NY,36079,0.18219749652294853,349
NY,36101,0.10587200904352195,740
NY,36039,0.13465815545478177,409
NY,36069,0.09422344010834986,532
NY,36075,0.0914001571117356,987
NY,36007,0.11105242201984913,14547
NY,36045,0.09503368436413162,688
NY,36115,0.10770282222400901,471
NY,36067,0.1012432083080424,3581
NY,36059,0.1160010158961702,6196
NY,36123,0.09427363365871483,159
NY,36073,0.08127027027027027,268
NY,36017,0.09337064141196728,379
NY,36065,0.10742932777086658,2244
NY,36023,0.09729075292397661,369
NY,36071,0.0951502721380458,3170
NY,36057,0.1118853031573065,564
NY,36003,0.08266349111838842,292
NY,36109,0.09636311294501487,435
NY,36055,0.10690428918475997,6125
NY,36099,0.07484844735865397,162
NY,36013,0.12336860863404979,1473
NY,36015,0.07765752141478664,598
NY,36085,0.11768537977773083,178665
NY,36089,0.09591280052125321,753
NY,36087,0.08141385767790262,2868
NY,36103,0.11949433696500895,8985
NY,36047,0.11768537977773083,178665
NY,36021,0.14811231713072204,550
NY,36117,0.10766554702495201,633
NY,36005,0.0817461203527967,1273
NY,36027,0.12520773431111346,1681
NY,36041,0.11401716387413159,26
NY,36037,0.10017486222975837,334
NY,36009,0.11212456369669199,692
NY,36113,0.10180301729424751,370
NY,36091,0.11149282380142216,918
NY,36025,0.12358498361197565,399
NY,36095,0.11151147354447184,209
NY,36105,0.12526995248836204,923
NY,36063,0.11536627999364372,1711
NY,36043,0.1043986388982915,513
NY,36107,0.08948824687788219,315
NY,36111,0.10873839997240142,1116
NY,36033,0.08667873771339886,293
NY,36011,0.07795129055748846,425
NY,36001,0.12413772612250355,2215
NY,36083,0.14621888633331423,1569
NY,36077,0.120261273709333,423
NY,36031,0.08413112851755149,181
NY,36081,0.11768537977773083,178665
NY,36053,0.10953118699463062,457
NY,36049,0.0765743809709495,141
NY,36061,0.122072362565882,131319
NY,36119,0.11625010312313469,6327
SC,45019,0.11929727189087563,4158
SC,45051,0.10149828132560279,3168
SC,45029,0.13790018958105257,889
SC,45035,0.1039043976774743,1248
SC,45079,0.10194410073996685,4022
SC,45039,0.1265280534949326,415
SC,45069,0.13320710586400847,620
SC,45075,0.16126753010794068,2211
SC,45007,0.1581719909302495,3197
SC,45045,0.1321507372595523,5940
SC,45067,0.1375795444729189,818
SC,45059,0.12872685868510944,1060
SC,45073,0.11870573292286496,958
SC,45017,0.16469685341519572,277
SC,45065,0.14835049380121873,122
SC,45023,0.10653142181084278,523
SC,45071,0.16511755998485317,827
SC,45057,0.13502021050946492,1153
SC,45003,0.12075372964382447,2169
SC,45055,0.11656172554041716,851
SC,45013,0.08569316501762766,1188
SC,45015,0.10993117301273152,1966
SC,45085,0.12703186621572596,1875
SC,45089,0.10827296364736472,571
SC,45087,0.16769998135371994,613
SC,45047,0.14910084224903256,1367
SC,45021,0.12259439851129485,897
SC,45005,0.123702007561638,196
SC,45027,0.11017517163922251,526
SC,45041,0.08410484871751377,1628
SC,45037,0.11207881210736721,273
SC,45009,0.1426144043251593,319
SC,45091,0.10371949395671755,2153
SC,45025,0.10735320736852365,666
SC,45063,0.09402002939843117,2392
SC,45043,0.08592355870723942,640
SC,45033,0.1523702192613304,927
SC,45011,0.20736069277108435,760
SC,45001,0.14487212905841804,429
SC,45083,0.10668472441612688,3511
SC,45077,0.11829347630133014,1307
SC,45031,0.11283886183673653,1088
SC,45081,0.09715502814544348,275
SC,45053,0.10567027204195346,425
SC,45049,0.10627702074098397,338
SC,45061,0.1445661100465371,449
TN,47019,0.1208286055104594,716
TN,47029,0.11851310431241516,583
TN,47017,0.0932668707775613,320
TN,47101,0.07877880873989823,113
TN,47167,0.1175386698087192,811
TN,47069,0.16424632854725119,515
TN,47075,0.09768706669854171,280
TN,47007,0.11801066122263809,178
TN,47129,0.09801570417359687,218
TN,47147,0.15972724206062358,1146
TN,47063,0.0999051881904174,788
TN,47133,0.09593916235858245,218
TN,47059,0.14528286810142765,941
TN,47123,0.10483231218458318,534
TN,47111,0.07531041198907133,240
TN,47095,0.09655695722280186,87
TN,47105,0.09329592563125497,385
TN,47141,0.09136632286475838,676
TN,47109,0.1344750787189924,455
TN,47185,0.08024006598970333,244
TN,47099,0.10756479362032047,500
TN,47175,0.08067852709971038,50
TN,47097,0.10686353829557713,411
TN,47093,0.10846443689587008,3765
TN,47087,0.11020850257243434,139
TN,47047,0.11207172590457894,355
TN,47033,0.07942854575677254,151
TN,47117,0.08968550106609809,289
TN,47153,0.1387948862568152,254
TN,47173,0.09907717270053747,254
TN,47107,0.13842272846133732,766
TN,47015,0.07082720047100383,105
TN,47113,0.1014549396417589,1182
TN,47187,0.08801447164102646,478
TN,47025,0.13743690342336307,500
TN,47143,0.1206296798537822,523
TN,47181,0.10052130553037171,155
TN,47155,0.10795938303802687,1057
TN,47159,0.09494880836059306,190
TN,47169,0.09704521854054564,87
TN,47121,0.11621269467022399,161
TN,47139,0.10883615605981979,198
TN,47145,0.1239582048526069,603
TN,47177,0.11855081844350951,597
TN,47083,0.11028846153846154,100
