State,County,Prevalence,Number in Group
GA,13231,0.013063605808865496,19
GA,13227,0.009063887563759128,22
GA,13247,0.006622111116779756,57
GA,13301,0.0081881125196508,112
GA,13229,0.006644518272425249,15
GA,13019,0.005702436495593572,14
GA,13289,0.012739535381650787,11
GA,13219,0.007900677200902935,11
GA,13029,0.015317575597517497,30
GA,13017,0.0067654110151400704,19
GA,13101,0.006579656881992325,1113
GA,13297,0.007915253228590133,61
GA,13167,0.014632495982407172,16
GA,13257,0.01377371350675906,41
GA,13069,0.0017709563164108619,11
GA,13075,0.007515323373969978,671
GA,13007,0.006579656881992325,1113
GA,13303,0.009021120033961863,23
GA,13129,0.006473029045643153,38
GA,13147,0.004386566141192597,11
GA,13063,0.0029258860015555343,139
GA,13133,0.008672609009877139,15
GA,13059,0.004652661232318389,53
GA,13123,0.007215325477345769,21
GA,13111,0.009325777519967873,19
GA,13233,0.008685794308387377,45
GA,13095,0.0038638217490233116,64
GA,13255,0.005951280014796601,49
GA,13291,0.034750882229798434,52
GA,13105,0.007086990048837807,17
GA,13141,0.007418573033043684,266
GA,13109,0.007515323373969978,671
GA,13185,0.003841423814064033,51
GA,13099,0.007515323373969978,671
GA,13175,0.007904162035321724,56
GA,13197,0.005696052597419455,625
GA,13097,0.007935174795573503,107
GA,13093,0.007515323373969978,671
GA,13087,0.004868818301654122,21
GA,13249,0.0081881125196508,112
GA,13271,0.009370084125572806,12
GA,13171,0.005462308619977996,2647
GA,13033,0.0032776301740620266,11
GA,13117,0.006182970655649565,40
GA,13223,0.006504095518359543,63
GA,13267,0.008628437893223082,22
GA,13221,0.006579656881992325,1113
GA,13153,0.006745181293543034,88
GA,13173,0.006579656881992325,1113
GA,13107,0.009762196095121562,31
GA,13015,0.0065280097161074845,69
GA,13299,0.005856960845836423,28
GA,13287,0.007515323373969978,671
GA,13211,0.005462308619977996,2647
GA,13047,0.009527321900547052,57
GA,13187,0.005043916862335855,11
GA,13025,0.011792255582503972,25
GA,13143,0.013092073292742189,39
GA,13181,0.005696052597419455,625
GA,13155,0.008322382829610162,11
GA,13159,0.005462308619977996,2647
GA,13169,0.012718535089899743,28
GA,13319,0.009333808336302101,12
GA,13295,0.011287661717461145,68
GA,13121,0.0070009055799179236,618
GA,13285,0.00623156638397007,48
GA,13201,0.0081881125196508,112
GA,13139,0.003146503090883087,72
GA,13269,0.018764580586266354,19
GA,13145,0.005696052597419455,625
GA,13307,0.0081881125196508,112
GA,13177,0.00880817746846455,22
GA,13245,0.0028362234568939312,79
GA,13083,0.005696052597419455,625
GA,13065,0.007515323373969978,671
GA,13321,0.013609421307128373,32
GA,13195,0.009423242149607826,29
GA,13053,0.005696052597419455,625
GA,13067,0.00553283838645115,267
GA,13085,0.005462308619977996,2647
GA,13311,0.008350202429149798,18
GA,13213,0.007729088884522172,42
GA,13283,0.007418573033043684,266
GA,13193,0.007515323373969978,671
GA,13239,0.013801159470450809,85
GA,13149,0.01082624867162593,14
GA,13205,0.005813636115508489,19
GA,13051,0.005923953312645348,141
GA,13225,0.006904769179065718,19
GA,13207,0.006519412279848205,12
GA,13189,0.0036260623229461757,13
GA,13243,0.007515323373969978,671
GA,13199,0.005183316631535298,13
GA,13161,0.007418573033043684,266
GA,13035,0.00676025120059106,16
GA,13079,0.006579656881992325,1113
GA,13011,0.0081881125196508,112
GA,13317,0.007515323373969978,671
GA,13039,0.014880743803583526,57
GA,13045,0.011922183692297904,132
GA,13259,0.0081881125196508,112
GA,13115,0.006163238486554825,65
GA,13163,0.005052773411183472,12
GA,13191,0.006579656881992325,1113
GA,13277,0.007396540130814842,41
GA,13157,0.007595567177188395,39
GA,13151,0.0060496409792502965,85
GA,13281,0.013801159470450809,85
GA,13127,0.011795794445069155,93
GA,13137,0.005149610943490392,20
GA,13023,0.007515323373969978,671
GA,13179,0.00873984454682939,44
GA,13241,0.007418573033043684,266
GA,13071,0.0042763898266936756,29
GA,13057,0.006242031241444584,71
GA,13003,0.013801159470450809,85
GA,13055,0.008659694962994038,27
