State,County,Prevalence,Number in Group
GA,13231,0.003967697299711066,1964
GA,13227,0.009540934277641187,22
GA,13247,0.0043671241263200855,41
GA,13301,0.004428537980399371,60
GA,13229,0.0036531162505426405,324
GA,13019,0.0036531162505426405,324
GA,13289,0.0038374351483930415,649
GA,13219,0.009294914354003453,12
GA,13029,0.0035258573690905787,395
GA,13017,0.0034482079170853777,124
GA,13101,0.0038374351483930415,649
GA,13297,0.006510742129381658,47
GA,13167,0.0034482079170853777,124
GA,13257,0.006304668862887652,19
GA,13069,0.002724548179093634,17
GA,13075,0.0036531162505426405,324
GA,13007,0.0038374351483930415,649
GA,13303,0.0034482079170853777,124
GA,13129,0.0025198038476046776,14
GA,13147,0.009150102810143935,24
GA,13063,0.0025321291912196128,123
GA,13133,0.006311732112743917,11
GA,13059,0.005828937904579237,69
GA,13123,0.0036531162505426405,324
GA,13111,0.005265271518450761,11
GA,13233,0.005001417068169315,26
GA,13095,0.00215193405744215,37
GA,13255,0.003285715839979111,28
GA,13291,0.0035620547431571056,22
GA,13105,0.004736900084456358,11
GA,13141,0.0034482079170853777,124
GA,13109,0.0036531162505426405,324
GA,13185,0.0022937998314195305,29
GA,13099,0.0036531162505426405,324
GA,13175,0.004026182536742003,29
GA,13197,0.0035258573690905787,395
GA,13097,0.0046092547923483685,62
GA,13093,0.0036531162505426405,324
GA,13087,0.007101245907216057,28
GA,13249,0.004428537980399371,60
GA,13271,0.0034482079170853777,124
GA,13171,0.003967697299711066,1964
GA,13033,0.0035258573690905787,395
GA,13117,0.006649876906533857,45
GA,13223,0.00466720398867875,44
GA,13267,0.0036531162505426405,324
GA,13221,0.0038374351483930415,649
GA,13153,0.0031844780210551773,41
GA,13173,0.0038374351483930415,649
GA,13107,0.0034482079170853777,124
GA,13015,0.0037278815174670646,40
GA,13299,0.0027573354631372773,13
GA,13287,0.0036531162505426405,324
GA,13211,0.011041631457382683,17
GA,13047,0.005839326326141742,34
GA,13187,0.008522480215670928,17
GA,13025,0.0038374351483930415,649
GA,13143,0.008775691049938542,29
GA,13181,0.0035258573690905787,395
GA,13155,0.0034482079170853777,124
GA,13159,0.008485265451209723,14
GA,13169,0.0038374351483930415,649
GA,13319,0.004428537980399371,60
GA,13295,0.004905791438742728,33
GA,13121,0.005300713961585181,479
GA,13285,0.0061627092968543785,47
GA,13201,0.004428537980399371,60
GA,13139,0.002626058766507223,61
GA,13269,0.012983061162389694,12
GA,13145,0.008190860040304232,11
GA,13307,0.004428537980399371,60
GA,13177,0.005292156009859359,13
GA,13245,0.0029009035813384906,81
GA,13083,0.0035258573690905787,395
GA,13065,0.0036531162505426405,324
GA,13321,0.0038374351483930415,649
GA,13195,0.008480917934647045,28
GA,13053,0.0035258573690905787,395
GA,13067,0.003186518659570838,161
GA,13085,0.003967697299711066,1964
GA,13311,0.0036531162505426405,324
GA,13213,0.003127660968101133,18
GA,13283,0.0034482079170853777,124
GA,13193,0.0036531162505426405,324
GA,13239,0.0035620547431571056,22
GA,13149,0.003967697299711066,1964
GA,13205,0.0036531162505426405,324
GA,13051,0.002809751230641694,69
GA,13225,0.0038374351483930415,649
GA,13207,0.0038374351483930415,649
GA,13189,0.0035258573690905787,395
GA,13243,0.0036531162505426405,324
GA,13199,0.003967697299711066,1964
GA,13161,0.0034482079170853777,124
GA,13035,0.0049870705578130775,12
GA,13079,0.0038374351483930415,649
GA,13011,0.004428537980399371,60
GA,13317,0.0036531162505426405,324
GA,13039,0.006540986287289462,25
GA,13045,0.0065059014411605635,71
GA,13259,0.004428537980399371,60
GA,13115,0.004973841585640735,52
GA,13163,0.0036531162505426405,324
GA,13191,0.0038374351483930415,649
GA,13277,0.004370682804572407,25
GA,13157,0.005354252272444278,29
GA,13151,0.0039011703511053317,58
GA,13281,0.0035620547431571056,22
GA,13127,0.0031597885977735296,25
GA,13137,0.0043102470452122225,16
GA,13023,0.0036531162505426405,324
GA,13179,0.002356416839587803,12
GA,13241,0.0034482079170853777,124
GA,13071,0.0038387475929677144,28
GA,13057,0.005983902129956274,71
GA,13003,0.0035620547431571056,22
GA,13055,0.0036531162505426405,324
GA,13313,0.0034889453524972504,40
GA,13013,0.005717728502404045,43
GA,13183,0.0038374351483930415,649
GA,13125,0.0035620547431571056,22
GA,13089,0.0028409190836365173,220
GA,13103,0.0031248486022964,12
GA,13293,0.004185662107760804,14
GA,13235,0.0038374351483930415,649
GA,13021,0.00625688732237415,133
GA,13135,0.0025290682626582825,193
GA,13217,0.005931388265469702,64
GA,13031,0.006349803286276325,43
GA,13253,0.0036531162505426405,324
GA,13273,0.0038374351483930415,649
GA,13027,0.0038374351483930415,649
GA,13305,0.00345442040765287,20
GA,13261,0.0036531162505426405,324
GA,13279,0.0034482079170853777,124
GA,13037,0.004428537980399371,60
GA,13009,0.004405121187695653,21
GA,13091,0.0036531162505426405,324
GA,13265,0.004428537980399371,60
GA,13215,0.0038308073057302817,91
GA,13263,0.004428537980399371,60
GA,13131,0.004127423822714682,13
GA,13043,0.0034482079170853777,124
GA,13275,0.004787449708386614,28
GA,13251,0.012659460512221249,23
GA,13005,0.0034482079170853777,124
GA,13209,0.0035620547431571056,22
GA,13001,0.0034482079170853777,124
GA,13237,0.007312329832749903,16
GA,13113,0.004004505068201727,18
GA,13077,0.002330936338070702,21
GA,13073,0.005113966369650522,32
GA,13081,0.0036531162505426405,324
GA,13049,0.0036531162505426405,324
GA,13061,0.0035620547431571056,22
GA,13315,0.004428537980399371,60
GA,13165,0.0036531162505426405,324
GA,13119,0.0077236799364781466,19
GA,13309,0.0035620547431571056,22
PA,42093,0.000903568048248993,72
PA,42019,0.004476521970049033,41
PA,42051,0.0004630310778747922,244
PA,42121,0.0013042546903005209,86
PA,42097,0.0018830573125392304,13
PA,42029,0.000928023222571636,18
PA,42035,0.0013042546903005209,86
PA,42079,0.00039307934675126063,12
PA,42101,0.000275735815586071,64
PA,42127,0.0032178640208673608,11
PA,42125,0.0004630310778747922,244
PA,42039,0.0013754179610614432,11
PA,42069,0.001277435837881779,23
PA,42075,0.000903568048248993,72
PA,42007,0.0004630310778747922,244
PA,42045,0.00039310264228721993,16
PA,42129,0.00043968870040011674,11
PA,42115,0.0015265193946969677,47
PA,42133,0.0005752126176952031,170
PA,42067,0.0015265193946969677,47
PA,42059,0.0015265193946969677,47
PA,42123,0.0015265193946969677,47
PA,42073,0.0013042546903005209,86
PA,42017,0.0006725863097210258,19
PA,42065,0.0013896318027163993,21
PA,42023,0.0013896318027163993,21
PA,42071,0.0004960782668358104,20
PA,42057,0.0013896318027163993,21
PA,42003,0.00035136242573243187,31
PA,42109,0.0013896318027163993,21
PA,42055,0.000903568048248993,72
PA,42099,0.0005752126176952031,170
PA,42013,0.000903568048248993,72
PA,42015,0.0015265193946969677,47
PA,42085,0.0005752126176952031,170
PA,42089,0.000903568048248993,72
PA,42087,0.0036979684285945408,14
