State,County,Prevalence,Number in Group
GA,13231,0.011356659062632661,5494
GA,13227,0.010384940002201755,25
GA,13247,0.010632110606601705,91
GA,13301,0.009124661337257919,117
GA,13229,0.02476975482568653,52
GA,13019,0.027475375842405392,65
GA,13289,0.016593512471898084,13
GA,13219,0.011552250697118576,17
GA,13029,0.01760640873277873,36
GA,13017,0.012808302407304016,33
GA,13101,0.019332192049755777,3245
GA,13297,0.026245313336904125,194
GA,13167,0.013502197001044314,475
GA,13257,0.013502197001044314,475
GA,13069,0.009853782581055308,58
GA,13075,0.03813973704226883,95
GA,13007,0.019332192049755777,3245
GA,13303,0.013502197001044314,475
GA,13129,0.01901169370049038,108
GA,13147,0.013639479095270734,37
GA,13063,0.01093162471467251,494
GA,13133,0.023656950132498192,42
GA,13059,0.007379824982018701,85
GA,13123,0.014994802598302581,1326
GA,13111,0.009124661337257919,117
GA,13233,0.028974876214927562,159
GA,13095,0.017532091186193276,280
GA,13255,0.00592952030724707,49
GA,13291,0.017345535020037082,25
GA,13105,0.02379466088936217,56
GA,13141,0.013502197001044314,475
GA,13109,0.010938017898574744,17
GA,13185,0.05129958960328317,650
GA,13099,0.013048205871692642,23
GA,13175,0.018056070149438063,128
GA,13197,0.012016796905423297,1316
GA,13097,0.018336233714750287,243
GA,13093,0.01433090181395649,19
GA,13087,0.007186290768380321,31
GA,13249,0.009124661337257919,117
GA,13271,0.019492510772177004,25
GA,13171,0.006695853721349472,12
GA,13033,0.012016796905423297,1316
GA,13117,0.01584651518152749,99
GA,13223,0.006935202714100954,68
GA,13267,0.014994802598302581,1326
GA,13221,0.04007199696854869,38
GA,13153,0.019261389211740917,255
GA,13173,0.019969159599074787,22
GA,13107,0.00643719742512103,21
GA,13015,0.013224701853819814,146
GA,13299,0.029722174681955617,140
GA,13287,0.016924157303370786,22
GA,13211,0.009745929806771449,15
GA,13047,0.01286188456573852,75
GA,13187,0.007261501000086964,17
GA,13025,0.038554821443505895,81
GA,13143,0.02646999971414687,80
GA,13181,0.02974628171478565,21
GA,13155,0.02044094028325303,24
GA,13159,0.007166609333791997,11
GA,13169,0.023034219902228852,48
GA,13319,0.009124661337257919,117
GA,13295,0.01878382680674944,115
GA,13121,0.011035392916660888,969
GA,13285,0.012222132963035221,97
GA,13201,0.01908957415565345,14
GA,13139,0.008315190617699874,186
GA,13269,0.009124661337257919,117
GA,13145,0.012016796905423297,1316
GA,13307,0.009124661337257919,117
GA,13177,0.012070465419747716,30
GA,13245,0.007357364155568635,196
GA,13083,0.01715447873375188,18
GA,13065,0.01107916102841678,11
GA,13321,0.009631882701606614,22
GA,13195,0.01352512402649594,43
GA,13053,0.012016796905423297,1316
GA,13067,0.007536107457407601,369
GA,13085,0.011356659062632661,5494
GA,13311,0.005102901484480431,11
GA,13213,0.0239077749394118,127
GA,13283,0.013502197001044314,475
GA,13193,0.014994802598302581,1326
GA,13239,0.010614057858152346,65
GA,13149,0.011356659062632661,5494
GA,13205,0.01015339265243736,33
GA,13051,0.0217407252532811,533
GA,13225,0.014359475726375607,40
GA,13207,0.009584509097985793,18
GA,13189,0.01206798866855524,38
GA,13243,0.027928626842513578,25
GA,13199,0.02076782197035143,54
GA,13161,0.02233913077617683,49
GA,13035,0.026006649427410416,63
GA,13079,0.01057711377007999,14
GA,13011,0.009124661337257919,117
GA,13317,0.030887185104052573,36
GA,13039,0.04510944471698554,176
GA,13045,0.008979416536760728,102
GA,13259,0.036189462480042574,17
GA,13115,0.02978482728792554,315
GA,13163,0.014994802598302581,1326
GA,13191,0.039595352880739745,43
GA,13277,0.03844978299407054,218
GA,13157,0.009463329597808491,48
GA,13151,0.01949328759980651,274
GA,13281,0.010614057858152346,65
GA,13127,0.022534577757787024,177
GA,13137,0.0046505297066763455,18
GA,13023,0.015276321701362887,17
GA,13179,0.010709386979917702,56
GA,13241,0.008884243532793311,12
GA,13071,0.02973466376572386,210
GA,13057,0.013477468457404785,156
GA,13003,0.012397507379468679,18
GA,13055,0.008270158511371467,23
GA,13313,0.0168455383215139,200
GA,13013,0.01230965516426656,93
GA,13183,0.007797068302318328,14
GA,13125,0.010614057858152346,65
GA,13089,0.008866293896186274,663
GA,13103,0.029044135458553364,109
GA,13293,0.023967581113866005,77
GA,13235,0.017830470500373414,17
GA,13021,0.015803180446814395,335
GA,13135,0.010169270095123532,748
GA,13217,0.020703751202308433,226
GA,13031,0.03918363804674844,239
GA,13253,0.0183426845058265,23
GA,13273,0.035632183908045977,47
GA,13027,0.03151010701545779,62
GA,13305,0.018209953732649744,103
GA,13261,0.02101408755569184,101
GA,13279,0.0114885652201975,46
GA,13037,0.009124661337257919,117
GA,13009,0.002080716816315819,11
GA,13091,0.010198054888372643,23
GA,13265,0.009124661337257919,117
GA,13215,0.003251912489752785,73
GA,13263,0.009124661337257919,117
GA,13131,0.006592797783933518,21
GA,13043,0.01192584720746251,17
GA,13275,0.020943143186850886,118
GA,13251,0.009494595384165937,18
GA,13005,0.07430825090772505,103
GA,13209,0.010614057858152346,65
GA,13001,0.021534270779651036,51
GA,13237,0.011979774406845585,27
GA,13113,0.009489842739748884,41
GA,13077,0.01906271823037578,186
GA,13073,0.014166111827286765,86
GA,13081,0.006406385380838606,21
GA,13049,0.014994802598302581,1326
GA,13061,0.010614057858152346,65
GA,13315,0.009124661337257919,117
GA,13165,0.014994802598302581,1326
GA,13119,0.013101382322156855,32
GA,13309,0.010614057858152346,65
PA,42093,0.016774891774891776,16
PA,42019,0.0032346221426264245,1659
PA,42051,0.0008113747005640986,11
PA,42121,0.011598365182812327,55
PA,42097,0.008027135338708899,58
PA,42029,0.0032326875288632814,64
PA,42035,0.004633440024386527,14
PA,42079,0.006538015072136202,183
PA,42101,0.003598938662964973,814
PA,42127,0.0035103971136734844,12
PA,42125,0.0032346221426264245,1659
PA,42039,0.004149967985961251,31
PA,42069,0.010724402053995647,183
PA,42075,0.00356474653870705,282
PA,42007,0.0032346221426264245,1659
PA,42045,0.004676859003644168,192
PA,42129,0.004996462504546781,119
PA,42115,0.003814682158352989,12
PA,42133,0.0009566559124701922,32
PA,42067,0.003623014607746592,113
PA,42059,0.003623014607746592,113
PA,42123,0.003623014607746592,113
PA,42073,0.0018796992481203006,14
PA,42017,0.006904777682062156,177
PA,42065,0.0032099762502823272,41
PA,42023,0.0032099762502823272,41
PA,42071,0.0017226996529920184,61
PA,42057,0.00505165171983199,15
PA,42003,0.0007150174144642491,61
PA,42109,0.006871751050345368,17
PA,42055,0.001275521123143432,13
PA,42099,0.0046575297828115375,1296
PA,42013,0.005075820564595953,55
PA,42015,0.00941514401978776,43
PA,42085,0.00740306448366688,74
PA,42089,0.004957851507619151,63
PA,42087,0.0037673053366306885,14
PA,42103,0.0055572490444814404,22
PA,42047,0.0032099762502823272,41
PA,42021,0.0010905035317443925,11
PA,42117,0.006449380230290065,18
PA,42005,0.0032346221426264245,1659
PA,42027,0.005782153461478356,29
PA,42041,0.0009633988712176559,11
PA,42037,0.0073146977765805345,33
PA,42009,0.003623014607746592,113
PA,42113,0.00505165171983199,15
PA,42091,0.005192239567037554,173
PA,42025,0.006799757557390712,31
PA,42095,0.006718804212263576,126
PA,42105,0.00505165171983199,15
PA,42063,0.004475410325033284,288
PA,42043,0.0015841939292493012,37
PA,42107,0.006189300914641135,70
PA,42111,0.004475410325033284,288
PA,42033,0.0026789228444828155,18
PA,42011,0.004176024622519896,153
PA,42131,0.007854934402941422,16
PA,42001,0.00356474653870705,282
PA,42083,0.0032099762502823272,41
PA,42077,0.006936919926215341,213
PA,42031,0.003623014607746592,113
PA,42081,0.0057180400570777425,47
PA,42053,0.00505165171983199,15
PA,42049,0.005987216720833932,176
PA,42061,0.003623014607746592,113
PA,42119,0.004475410325033284,288
NY,36093,0.0540016849199663,668
NY,36019,0.04125971370143149,214
NY,36051,0.029826506148333376,99
NY,36121,0.059144716725636655,120
NY,36097,0.026096797816390387,34
NY,36029,0.045024615265340934,3008
NY,36035,0.021356421356421358,103
NY,36079,0.02382939267501159,45
NY,36101,0.02662814796206745,184
NY,36039,0.018976921521619824,58
NY,36069,0.02574884248322782,141
NY,36075,0.012147814608151994,129
NY,36007,0.03250251029926521,4196
NY,36045,0.01916482233625994,138
NY,36115,0.026734743105250463,113
NY,36067,0.04489950384708956,1586
NY,36059,0.012246107359386294,650
