State,County,Prevalence,Number in Group
GA,13231,0.002038473572187156,979
GA,13227,0.002038473572187156,979
GA,13247,0.0017754196214478852,15
GA,13301,0.004488744690102686,58
GA,13229,0.00309354924787026,267
GA,13019,0.005035917944160557,12
GA,13289,0.0032034468858140545,528
GA,13219,0.0032034468858140545,528
GA,13029,0.002766491861159428,295
GA,13017,0.005123320962921607,13
GA,13101,0.0032034468858140545,528
GA,13297,0.0019758376480390407,15
GA,13167,0.003512246064116963,125
GA,13257,0.004032716119504715,13
GA,13069,0.0038295038295038295,22
GA,13075,0.005215690535694882,12
GA,13007,0.0032034468858140545,528
GA,13303,0.003512246064116963,125
GA,13129,0.0024443606186344774,14
GA,13147,0.00309354924787026,267
GA,13063,0.0014678162286284593,64
GA,13133,0.00309354924787026,267
GA,13059,0.002150263725725246,24
GA,13123,0.00309354924787026,267
GA,13111,0.004488744690102686,58
GA,13233,0.002083923778403881,11
GA,13095,0.004647318937019706,74
GA,13255,0.003144277740907162,25
GA,13291,0.0028554123042312017,20
GA,13105,0.00309354924787026,267
GA,13141,0.003512246064116963,125
GA,13109,0.00309354924787026,267
GA,13185,0.005091959264325885,64
GA,13099,0.00309354924787026,267
GA,13175,0.003248116586390021,23
GA,13197,0.002766491861159428,295
GA,13097,0.0023449415780314583,30
GA,13093,0.00800464786004777,11
GA,13087,0.00309354924787026,267
GA,13249,0.004488744690102686,58
GA,13271,0.003512246064116963,125
GA,13171,0.002038473572187156,979
GA,13033,0.003873562932982395,13
GA,13117,0.0025467613684597755,16
GA,13223,0.0022867425165413956,23
GA,13267,0.005033255437713464,12
GA,13221,0.0032034468858140545,528
GA,13153,0.0031441681726873906,41
GA,13173,0.0032034468858140545,528
GA,13107,0.004468798212480715,14
GA,13015,0.0011048698615117318,11
GA,13299,0.004754026660581513,22
GA,13287,0.00309354924787026,267
GA,13211,0.002038473572187156,979
GA,13047,0.0020898641588296763,12
GA,13187,0.00309354924787026,267
GA,13025,0.0032034468858140545,528
GA,13143,0.002038473572187156,979
GA,13181,0.002766491861159428,295
GA,13155,0.003512246064116963,125
